"id"|"arenaId"|"name"|"address"|"short"
654|654|"IGS Kronsberg,Nebenstelle 1"|"Friedrich-Wulfert-Platz  1, 30539 Hannover"|"Hannover, IGS Kronsberg,Nebenstelle 1"
644|644|"Sporthalle im Ludwig-Hofmann Quartier"|"Wiltbergstraße 50, 13125 Berlin"|"Berlin, Sporthalle im Ludwig-Hofmann Quartier"
642|642|"Konrad-Wolf-Straße 11"|"Konrad-Wolf-Straße 11, 13055 Berlin"|"Berlin, Konrad-Wolf-Straße 11"
645|645|"Werner-Ruhemann-Sporthalle"|"Forckenbeckstraße 37, 14199 Berlin"|"Berlin, Werner-Ruhemann-Sporthalle"
652|652|"Primo-Levi-Gymnasium"|"Woelckpromenade 11, 13086 Berlin"|"Berlin, Primo-Levi-Gymnasium"
653|653|"Turnhalle Feuerhägle"|"Primus-Truber-Straße 47, 72072 Tübingen"|"Tübingen, Turnhalle Feuerhägle"
661|661|"Sporthalle Stammheim"|"Münchinger Str. 60, 70439 Stuttgart"|"Stuttgart, Sporthalle Stammheim"
637|637|"Sporthalle des Gutenberggymnasiums"|"Nordhäuser Str. 63, 99084 Erfurt"|"Erfurt, Sporthalle des Gutenberggymnasiums"
650|650|"Lobdeburgschule"|"Unter der Lobedburg 4, 07747 Jena"|"Jena, Lobdeburgschule"
640|640|"107. Oberschule"|"Hepkestraße 26, 01309 Dresden"|"Dresden, 107. Oberschule"
649|649|"Montessorischule"|"Friedrich-Wolf-Straße 2, 07743 Jena"|"Jena, Montessorischule"
382|382|"Holzbüttgen"|" ,  "|", Holzbüttgen"
656|656|"Böllenfalltorhalle"|"Nieder-Ramstädter Str.  170, 64285 Darmstadt"|"Darmstadt, Böllenfalltorhalle"
646|646|"Sporthalle Nord"|"Isarstraße 24, 93057 Regensburg"|"Regensburg, Sporthalle Nord"
657|657|"Raubling Gymnasium Halle"|"Kapellenweg 43, 83064 Raubling"|"Raubling, Raubling Gymnasium Halle"
662|662|"TV Augsburg"|"Gabelsberger Str. 64, 86199 Augsburg"|"Augsburg, TV Augsburg"
658|658|"Raubling Turnhalle"|"Rosenheimer Straße 2a, 83064 Raubling"|"Raubling, Raubling Turnhalle"
648|648|"Sportpark Wasserland"|"Wasserland 14, 53129 Bonn"|"Bonn, Sportpark Wasserland"
672|672|"Hartharena"|"Döbelner Str. 55, 04746 Hartha"|"Hartha, Hartharena"
57|57|"Sporthalle am Turner Hölzl"|" ,  Rohrdorf"|"Rohrdorf, Sporthalle am Turner Hölzl"
684|684|"Euroville Jugend- und Sporthotel"|"Am Michaelisholz 115, 06618 Naumburg (Saale)"|"Naumburg (Saale), Euroville Jugend- und Sporthotel"
683|683|"Sporthalle Albert-Einstein-Gymnasium"|"Olvenstedter Graseweg 36, 39128 Magdeburg"|"Magdeburg, Sporthalle Albert-Einstein-Gymnasium"
685|685|"Mehrzweckhalle"|"Teltower Str. 1, 14979 Großbeeren"|"Großbeeren, Mehrzweckhalle"
681|681|"Halle Bogenstraße"|"Wiener Str. 3, 27568 Bremerhaven"|"Bremerhaven, Halle Bogenstraße"
670|670|"Fritz-Reuter-Schule"|"Braunstraße 5, 27574 Bremerhaven"|"Bremerhaven, Fritz-Reuter-Schule"
673|673|"Sporthalle Horn"|"Spittaler Straße 6, 28359 Bremen"|"Bremen, Sporthalle Horn"
